match_id,season,start_date,venue,innings,ball,batting_team,bowling_team,striker,non_striker,bowler,runs_off_bat,extras,wides,noballs,byes,legbyes,penalty,wicket_type,player_dismissed,other_wicket_type,other_player_dismissed
1348652,2022/23,2023-02-09,"Vidarbha Cricket Association Stadium, Jamtha, Nagpur",1,5.3,Australia,India,M Labuschagne,SPD Smith,Mohammed Siraj,0,0,,,,,,,,,
1348652,2022/23,2023-02-09,"Vidarbha Cricket Association Stadium, Jamtha, Nagpur",1,5.4,Australia,India,M Labuschagne,SPD Smith,Mohammed Siraj,0,0,,,,,,,,,
1348652,2022/23,2023-02-09,"Vidarbha Cricket Association Stadium, Jamtha, Nagpur",1,5.5,Australia,India,M Labuschagne,SPD Smith,Mohammed Siraj,1,0,,,,,,,,,
1348652,2022/23,2023-02-09,"Vidarbha Cricket Association Stadium, Jamtha, Nagpur",1,5.6,Australia,India,SPD Smith,M Labuschagne,Mohammed Siraj,0,0,,,,,,,,,
1348652,2022/23,2023-02-09,"Vidarbha Cricket Association Stadium, Jamtha, Nagpur",1,6.1,Australia,India,M Labuschagne,SPD Smith,RA Jadeja,0,0,,,,,,,,,
1348652,2022/23,2023-02-09,"Vidarbha Cricket Association Stadium, Jamtha, Nagpur",1,6.2,Australia,India,M Labuschagne,SPD Smith,RA Jadeja,0,0,,,,,,,,,
1348652,2022/23,2023-02-09,"Vidarbha Cricket Association Stadium, Jamtha, Nagpur",1,6.3,Australia,India,M Labuschagne,SPD Smith,RA Jadeja,0,0,,,,,,,,,
1348652,2022/23,2023-02-09,"Vidarbha Cricket Association Stadium, Jamtha, Nagpur",1,6.4,Australia,India,M Labuschagne,SPD Smith,RA Jadeja,0,0,,,,,,,,,
1348652,2022/23,2023-02-09,"Vidarbha Cricket Association Stadium, Jamtha, Nagpur",1,6.5,Australia,India,M Labuschagne,SPD Smith,RA Jadeja,0,0,,,,,,,,,
1348652,2022/23,2023-02-09,"Vidarbha Cricket Association Stadium, Jamtha, Nagpur",1,6.6,Australia,India,M Labuschagne,SPD Smith,RA Jadeja,0,1,,,,1,,,,,
1348652,2022/23,2023-02-09,"Vidarbha Cricket Association Stadium, Jamtha, Nagpur",1,7.1,Australia,India,M Labuschagne,SPD Smith,AR Patel,0,0,,,,,,,,,
